crop,country,year,genus_count_mls_supply_accessions,species_count_mls_supply_accessions
Lettuce,World,2019,0.1070,0.0871
Leucaena,World,2019,0.4045,0.5485
Licorice,World,2019,0.2195,0.2638
Lima bean,World,2019,0.3391,0.4048
Litchi,World,2019,0.0000,0.0000
Little millet,World,2019,0.0346,0.0032
Lolium,World,2019,0.2962,0.3118
Longan,World,2019,0.0000,0.0000
Loquat,World,2019,0.0033,0.0034
Lotus,World,2019,0.3170,0.2225
Luffa,World,2019,0.2762,0.3638
Lupins,World,2019,0.0786,0.0844
Maca,World,2019,0.1438,0.1684
Macadamia nut,World,2019,0.0000,0.0000
Macroptilium,World,2019,0.7332,0.6340
Mahuwa,World,2019,0.0000,0.0000
Maize,World,2019,0.2032,0.2047
Malabar spinach,World,2019,0.6300,0.6356
Mamey sapote,World,2019,0.0000,0.0000
Mammee,World,2019,0.0000,0.0000
Mandarines,World,2019,0.1170,0.1588
Mango,World,2019,0.0000,0.0000
Mangosteen,World,2019,0.0000,0.0000
Maple sugar,World,2019,0.0793,0.0000
Marjoram,World,2019,0.0662,0.0952
Mashua,World,2019,0.0686,0.0691
Mat bean,World,2019,0.1655,0.0406
Mate,World,2019,0.0348,0.0000
Mauka,World,2019,0.0814,0.1143
Medlar,World,2019,0.0165,0.0167
Melilotus,World,2019,0.1845,0.1522
Melons,World,2019,0.0610,0.0246
Mombin,World,2019,0.0044,0.0103
Mulberry,World,2019,0.0097,0.0185
Mung bean,World,2019,0.1655,0.3191
Myrtle,World,2019,0.0000,0.0000
Naranjilla,World,2019,0.3185,0.0538
Neonotonia,World,2019,0.4610,0.4646
New Zealand flax,World,2019,0.0000,0.0000
New Zealand spinach,World,2019,0.2041,0.4146
Noog,World,2019,0.0012,0.0000
Nutmeg,World,2019,0.0000,0.0000
Oats,World,2019,0.1691,0.2196
Oca,World,2019,0.1411,0.1418
Oil palm,World,2019,0.0000,0.0000
Oiticica,World,2019,0.0000,0.0000
Okra,World,2019,0.0876,0.0960
Olives,World,2019,0.0009,0.0009
Onions,World,2019,0.0853,0.0551
Onobrychis,World,2019,0.1904,0.3540
Orache,World,2019,0.3335,0.0818
Oranges,World,2019,0.1170,0.1663
Oregano,World,2019,0.0662,0.0705
Ornithopus,World,2019,0.6293,0.5935
Papayas,World,2019,0.0055,0.0055
Parsley,World,2019,0.0386,0.0473
Parsnip,World,2019,0.0345,0.0368
Passionfruit,World,2019,0.0105,0.0000
Pawpaw,World,2019,0.0175,0.0217
Peaches and nectarines,World,2019,0.1596,0.0528
Pearl millet,World,2019,0.0239,0.0028
Pears,World,2019,0.2517,0.3052
Peas,World,2019,0.3898,0.3712
Pecan,World,2019,0.0009,0.0000
Pepino,World,2019,0.3185,0.1176
Pepper,World,2019,0.0016,0.0294
Peppermint,World,2019,0.0191,0.0389
Perilla,World,2019,0.0389,0.0359
Persimmons,World,2019,0.0009,0.0000
Phalaris,World,2019,0.2481,0.3005
Phleum,World,2019,0.4197,0.4490
Physic nut,World,2019,0.0006,0.0006
Pigeonpeas,World,2019,0.0160,0.0125
Pili nut,World,2019,0.0000,0.0000
Pine nut,World,2019,0.0106,0.0000
Pineapples,World,2019,0.0016,0.0000
Pistachios,World,2019,0.0000,0.0000
Plantains,World,2019,0.0998,0.2521
Plums,World,2019,0.1596,0.2005
Poa,World,2019,0.2579,0.3289
Pomegranate,World,2019,0.0022,0.0022
Pongamia oil,World,2019,0.0038,0.0000
Poppies,World,2019,0.0452,0.0535
Potatoes,World,2019,0.3185,0.4454
Prickly pear,World,2019,0.0121,0.0000
Proso millet,World,2019,0.0346,0.0062
Prosopis,World,2019,0.0148,0.0577
Pueraria,World,2019,0.5290,0.5630
Pumpkin,World,2019,0.0653,0.0446
Purging croton,World,2019,0.0000,0.0000
Pyrethrum,World,2019,0.0861,0.0000
Quinces,World,2019,0.0493,0.0504
Quinoa,World,2019,0.0101,0.0026
Radish,World,2019,0.3634,0.3594
Rambutan,World,2019,0.0000,0.0000
Ramie,World,2019,0.0426,0.0952
Rapeseed and mustards,World,2019,0.2675,0.3187
Raspberries,World,2019,0.0689,0.1467
Rhubarb,World,2019,0.0708,0.0111
Rhynchosia,World,2019,0.6346,0.6760
Rice bean,World,2019,0.1655,0.1367
Roselle,World,2019,0.0585,0.1341
Rosemary,World,2019,0.0607,0.0798
"Rubber, natural",World,2019,0.0000,0.0000
Runner bean,World,2019,0.3391,0.3579
Rye,World,2019,0.3560,0.3441
Safflower,World,2019,0.0039,0.0036
Saffron,World,2019,0.0000,0.0000
Sago palm,World,2019,0.0000,0.0000
Salsify,World,2019,0.0588,0.0182
Salsola,World,2019,0.0080,0.0000
Sapodilla,World,2019,0.0000,0.0000
Savory,World,2019,0.0155,0.0192
Service tree,World,2019,0.0240,0.0000
Sesame,World,2019,0.0013,0.0002
Sesbania,World,2019,0.4231,0.4319
Shala tree,World,2019,0.0000,0.0000
Sisal,World,2019,0.0149,0.1250
Slippery cabbage,World,2019,0.0876,0.0336
Snake gourd,World,2019,0.0695,0.3087
Snake plant,World,2019,0.0000,0.0000
Sorghum,World,2019,0.0046,0.0025
Sorrel,World,2019,0.0265,0.0211
Soursop,World,2019,0.0000,0.0000
Soybeans,World,2019,0.1646,0.1601
Spider plant,World,2019,0.0000,0.4392
Spinach,World,2019,0.0133,0.0140
Strawberries,World,2019,0.1901,0.0379
Strawberry tree,World,2019,0.0000,0.0000
Stylosanthes,World,2019,0.6986,0.8070
Sugar apple,World,2019,0.0000,0.0000
Sugar beets,World,2019,0.3047,0.2359
Sugarcane,World,2019,0.0001,0.0000
Sunflowers,World,2019,0.0533,0.0468
Sunn hemp,World,2019,0.2207,0.0359
Sweetpotatoes,World,2019,0.4440,0.4393
Sword bean,World,2019,0.3617,0.2381
Tallowtree,World,2019,0.0000,0.0000
Tamarind,World,2019,0.0513,0.0513
Taro,World,2019,0.0005,0.0000
Tarragon,World,2019,0.0641,0.0484
Tea,World,2019,0.0000,0.0000
Teff,World,2019,0.0309,0.0026
Tepary bean,World,2019,0.3391,0.3589
Thyme,World,2019,0.0210,0.0904
Tobacco,World,2019,0.0116,0.0112
Tomatillo,World,2019,0.0301,0.0353
Tomatoes,World,2019,0.3185,0.2238
Tree tomato,World,2019,0.3185,0.0000
Tripsacum,World,2019,0.3114,0.0000
Triticale,World,2019,0.6551,0.0000
Tung nuts,World,2019,0.0000,0.0000
Turmeric,World,2019,0.0000,0.0000
Turnips,World,2019,0.2675,0.3233
Ulluco,World,2019,0.2324,0.2324
Vanilla,World,2019,0.0000,0.0000
Velvet bean,World,2019,0.1148,0.1051
Velvet leaf,World,2019,0.0222,0.0000
Vetch,World,2019,0.4071,0.3383
Walnuts,World,2019,0.1413,0.1739
Water dropwort,World,2019,0.0119,0.3333
Watercress,World,2019,0.0097,0.0111
Watermelons,World,2019,0.0076,0.0080
Wax gourd,World,2019,0.2936,0.2849
West Indian Gherkin,World,2019,0.0610,0.0579
Wheat,World,2019,0.3560,0.3900
Wildrice,World,2019,0.0000,0.0000
Winged bean,World,2019,0.1718,0.1779
Yacon,World,2019,0.0868,0.0876
Yams,World,2019,0.0055,0.0021
"Yautia, cocoyam",World,2019,0.0000,0.0000
Year bean,World,2019,0.3391,0.5450
Zornia,World,2019,0.8566,0.6022
Zucchini,World,2019,0.0653,0.0700
